player,maps,map_wins,map_win_rate,matches,match_wins,match_win_rate
Sauna,4,2,0.5,3,2,0.666666667
FDGod,221,128,0.57918552,59,39,0.661016949
shu,519,307,0.591522158,129,85,0.658914729
IZaYaKI,459,273,0.594771242,122,80,0.655737705
JJonak,562,336,0.597864769,136,89,0.654411765
kevster,341,204,0.598240469,90,58,0.644444444
SLIME,286,170,0.594405594,70,45,0.642857143
Joobi,45,22,0.488888889,14,9,0.642857143
DreamKazper,88,50,0.568181818,22,14,0.636363636
Fleta,587,341,0.580919932,160,101,0.63125
Vindaim,174,102,0.586206897,46,29,0.630434783
Mistakes,101,55,0.544554455,27,17,0.62962963
Piggy,162,83,0.512345679,51,32,0.62745098
Fl0w3R,16,9,0.5625,8,5,0.625
Doha,274,150,0.547445255,72,45,0.625
Luffy,157,83,0.52866242,40,25,0.625
JJANGGU,53,27,0.509433962,16,10,0.625
Anamo,500,294,0.588,141,88,0.624113475
Edison,299,173,0.578595318,93,58,0.623655914
Poko,337,178,0.528189911,93,58,0.623655914
PELICAN,324,187,0.577160494,85,53,0.623529412
MekO,439,253,0.576309795,106,66,0.622641509
NUS,232,138,0.594827586,63,39,0.619047619
Bunny,57,30,0.526315789,21,13,0.619047619
fragi,146,77,0.52739726,34,21,0.617647059
s9mm,55,32,0.581818182,26,16,0.615384615
SADO,412,226,0.548543689,104,64,0.615384615
FEARLESS,415,226,0.544578313,114,70,0.614035088
MER1T,214,118,0.551401869,54,33,0.611111111
Bischu,160,88,0.55,46,28,0.608695652
Boombox,351,180,0.512820513,86,52,0.604651163
KNIFE,9,7,0.777777778,5,3,0.6
Attack,6,4,0.666666667,5,3,0.6
LIGE,6,4,0.666666667,5,3,0.6
probe,19,12,0.631578947,5,3,0.6
Venom,76,46,0.605263158,25,15,0.6
Miro,103,52,0.504854369,25,15,0.6
TOPDRAGON,10,5,0.5,5,3,0.6
D0nghun,20,9,0.45,5,3,0.6
Misin,20,9,0.45,5,3,0.6
Spectra,20,9,0.45,5,3,0.6
Fate,611,335,0.548281506,157,94,0.598726115
BenBest,148,77,0.52027027,47,28,0.595744681
Janus,199,90,0.452261307,74,44,0.594594595
SPACE,436,233,0.53440367,113,67,0.592920354
Birdring,514,282,0.548638132,135,80,0.592592593
diem,158,77,0.487341772,49,29,0.591836735
SoOn,324,173,0.533950617,88,52,0.590909091
Xzi,90,47,0.522222222,29,17,0.586206897
Happy,429,228,0.531468531,113,66,0.584070796
Fissure,194,109,0.56185567,48,28,0.583333333
Fury,552,305,0.552536232,156,91,0.583333333
Wekeed,64,34,0.53125,24,14,0.583333333
Hawk,371,206,0.555256065,105,61,0.580952381
ga9A,114,64,0.561403509,31,18,0.580645161
Profit,720,395,0.548611111,181,105,0.580110497
Chara,210,108,0.514285714,50,29,0.58
eqo,334,179,0.535928144,88,51,0.579545455
carpe,557,290,0.52064632,149,86,0.577181208
lateyoung,132,74,0.560606061,40,23,0.575
Gator,249,141,0.56626506,70,40,0.571428571
Ria,170,87,0.511764706,42,24,0.571428571
